2020-05-25
+-----------------------------------------+--------+
|                   Card                  | Price  |
|         mirror gate Ultimate 1st        |  1.42  |
|  neos dark panther ultimate 1st german  |  0.3   |
|                   test                  |   0    |
+-----------------------------------------+--------+
2020-05-26
+----------------------+--------+
|         Card         | Price  |
+----------------------+--------+
|    Stardust Ghost    | 141.64 |
|     Trishula DT      | 140.26 |
|    Pot of Avarice    | 115.0  |
|   Black Rose Ghost   | 113.79 |
| Bottomless Trap Hole | 85.58  |
|    Effect Veiler     | 75.54  |
|    Solemn Warning    |  52.0  |
|        Maxx c        | 38.59  |
|   Smashing Ground    |  33.8  |
|      Tour guide      |  26.8  |
|      Brionac DT      | 25.59  |
|       Leviair        | 25.02  |
|     Book of Moon     | 23.27  |
|     Catastor UTR     | 19.56  |
|      Laggia UTR      | 17.92  |
|    Rescue Rabbit     | 16.84  |
|         TKO          |  16.5  |
|        Sangan        | 13.79  |
|    Dolkka Secret     | 12.83  |
|   Solemn Judgment    | 11.67  |
|     Mirror Force     |  10.7  |
|    Monster Reborn    |  8.07  |
|     Mind Control     |  7.58  |
|      Dark Hole       |  7.04  |
|         MST          |  6.28  |
|  Torrential Tribute  |  4.08  |
|      Armory Arm      |  3.73  |
|   Leviathan Dragon   |  3.32  |
|      Zenmaines       |  2.84  |
|         Gorz         |  2.48  |
|      Utopia Ray      |  2.09  |
|      Acid Golem      |  1.89  |
|      Zenmaister      |  1.71  |
|     Heavy Storm      |  1.01  |
|        Utopia        |  0.98  |
|    Fiendish Chain    |  0.95  |
|    Giga Brilliant    |  0.51  |
|        Saber         |  0.49  |
|        Kabaz         |  0.37  |
|         test         |   0    |
+----------------------+--------+
2020-05-27
+----------------------+--------+
|         Card         | Price  |
+----------------------+--------+
|    Stardust Ghost    | 146.65 |
|     Trishula DT      | 140.26 |
|   Black Rose Ghost   | 117.87 |
|    Pot of Avarice    | 115.0  |
| Bottomless Trap Hole | 85.58  |
|    Effect Veiler     | 75.54  |
|    Solemn Warning    |  52.0  |
|        Maxx c        | 38.59  |
|   Smashing Ground    |  33.8  |
|      Tour guide      |  26.8  |
|      Brionac DT      | 25.59  |
|       Leviair        | 25.02  |
|     Book of Moon     | 23.27  |
|     Catastor UTR     | 19.56  |
|      Laggia UTR      | 18.24  |
|    Rescue Rabbit     | 16.96  |
|        Sangan        | 14.17  |
|         TKO          | 14.01  |
|    Dolkka Secret     | 12.87  |
|   Solemn Judgment    | 11.67  |
|     Mirror Force     |  10.7  |
|    Monster Reborn    |  8.07  |
|     Mind Control     |  7.58  |
|      Dark Hole       |  7.04  |
|         MST          |  6.28  |
|  Torrential Tribute  |  4.08  |
|      Armory Arm      |  3.73  |
|   Leviathan Dragon   |  3.32  |
|      Zenmaines       |  2.84  |
|         Gorz         |  2.48  |
|      Utopia Ray      |  2.21  |
|      Acid Golem      |  2.11  |
|      Zenmaister      |  1.71  |
|     Heavy Storm      |  1.01  |
|    Fiendish Chain    |  0.95  |
|        Utopia        |  0.92  |
|    Giga Brilliant    |  0.51  |
|         test         |   0    |
+----------------------+--------+
2020-05-31
+----------------------+--------+
|         Card         | Price  |
+----------------------+--------+
|    Stardust Ghost    | 146.65 |
|     Trishula DT      | 140.26 |
