collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
|      Black Luster Soldier EOTB Ultra 1st       |  504  |
|            Judgment Dragon Ultimate            |  494  |
|               Breaker TP7 super                |  472  |
|       Night Assailant Super CP 3 EN 1 IT       |  444  |
|   Trap Dustshoot Super CP 2 english 1 german   |  431  |
|              Jinzo Secret PSV 1st              |  425  |
|               Allure Ulti 1st EN               |  409  |
|   Allure of Darkness Ultimate 1st 1 DE 2 IT    |  409  |
|           Dark Armed Dragon Ultimate           |  406  |
|        Caius Shadow Monarch Ultimate TU        |  400  |
|            Foolish Burial Super CP             |  394  |
|              Gravekeeper Spy CP03              |  372  |
|             Spirit Reaper Super CP             |  369  |
|           Cyber Dragon Ultimate 1st            |  330  |
|      Lightning Vortex Ultimate 1st french      |  329  |
|              DD Crow Ultimate 1st              |  319  |
|       Chaos Emperor Dragon Ultimate 1st        |  308  |
|     Charge of the Light Brigade Secret 1st     |  305  |
|      Lumina, Lightsworn Summoner Super CP      |  301  |
|          Tour Guide Ultimate Italian           |  284  |
|    Phoenix Wing Wind Blast Ultimate 1st NM     |  271  |
|            Chaos Sorcerer Ultra TU             |  261  |
| Pot of Avarice Ultimate 1st 2 german 1 english |  260  |
|   Pot of Greed Ultimate 1st - 2 EN 2 Foreign   |  260  |
|            Smashing Ground Super CP            |  259  |
|           Brain Control Ultimate 1st           |  217  |
|               Sangan Super RP01                |  209  |
|               Tragoedia Ultimate               |  205  |
|          Krebos Super TU (2 EN 3 GER)          |  193  |
|         Emegency Teleport Ultimate 1st         |  191  |
|        Dark Magician of Chaos DMOC 1st         |  189  |
|          Thunder King Rai-Oh Ultimate          |  182  |
|              Doom Lord Rare DR04               |  180  |
|    Phoenix Wing Wind Blast Ultimate 1st LP     |  173  |
|               Maxx C Secret 1st                |  170  |
|            Dark Grepher Secret 1st             |  164  |
|         Crush Card Virus Ultimate 1st          |  163  |
|             Delinquent Duo MRL 1st             |  158  |
|             Honest Ghost Unlimited             |  157  |
|          Solemn Warning Ultimate 1st           |  147  |
|              Mirror Force MRD 1st              |  143  |
|          Solar Recharge Ultimate 1st           |  141  |
|       Mystical Space Typhoon MST MRL 1st       |  133  |
|              Dekoichi UTR 1st NM               |  129  |
|               Dandylion Ultimate               |  122  |
|               Lyla Ultimate 1st                |  118  |
|           Machine Dupe Ultimate 1st            |  117  |
|             Cyber Jar Ultimate 1st             |  111  |
|           Torrential Tribute LON 1st           |  111  |
|               Tsukuyomi Ultimate               |  104  |
|             Pot of Duality Scr 1st             |  101  |
|         Ring of Destruction Secret 1st         |   97  |
|          Future Fusion UTR Unlimited           |   96  |
|             Celestia Ultimate 1st              |   94  |
|        Glowup Bulb Ultimate 2 eng 1 IT         |   91  |
|             Tour Guide Secret 1st              |   88  |
|           Archlord Kristya Unlimited           |   85  |
|              Snatch Steal MRL 1st              |   85  |
|                Ehren Secret 1st                |   78  |
|            Enemy Controller AST 1st            |   75  |
|               Dark Hole LOB 1st                |   74  |
|             Debris Dragon Ultimate             |   71  |
|           Cyber Phoenix Ultimate 1st           |   62  |
|       Monster Reincarnation Ultimate 1st       |   60  |
|           Thunder King Rai-oh Secret           |   60  |
|              Heavy storm mrd 1st               |   59  |
|           Diamond Dude Ultimate 1st            |   58  |
|             Doomcalibur Knight TU              |   56  |
|              Battle Fader UTR 1st              |   55  |
|              Divine Wrath UTR 1st              |   52  |
|           Necro Gardna Ultimate 1st            |   50  |
|         Giant Trunade - MRL Super 1st          |   44  |
|              Dekoichi UTR 1st LP               |   43  |
|                  Beckoning TU                  |   40  |
|              D Hero Malicious 1st              |   38  |
|                   Garoth TU                    |   35  |
|            Nobleman of Crossout 1st            |   35  |
|            Tribe infecting MFC 1st             |   32  |
|            Rescue Rabbit Secret 1st            |   29  |
|             Thunder Dragon MRD 1st             |   29  |
|          Harpie's Feather Duster SDD           |   28  |
|         Solemn Judgment MRD Unlimited          |   28  |
|            Card Destruction SDY 1st            |   26  |
|                Destiny Draw 1st                |   18  |
