collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
|            Judgment Dragon Ultimate            |  448  |
|              Jinzo Secret PSV 1st              |  425  |
|               Breaker TP7 super                |  412  |
|   Trap Dustshoot Super CP 2 english 1 german   |  407  |
|           Dark Armed Dragon Ultimate           |  398  |
|       Night Assailant Super CP 3 EN 1 IT       |  392  |
|              Gravekeeper Spy CP03              |  370  |
|        Caius Shadow Monarch Ultimate TU        |  347  |
|             Spirit Reaper Super CP             |  314  |
|               Allure Ulti 1st EN               |  300  |
|   Allure of Darkness Ultimate 1st 1 DE 2 IT    |  300  |
|              DD Crow Ultimate 1st              |  299  |
|      Lightning Vortex Ultimate 1st french      |  294  |
|      Lumina, Lightsworn Summoner Super CP      |  294  |
|      Black Luster Soldier EOTB Ultra 1st       |  289  |
|            Foolish Burial Super CP             |  274  |
|           Cyber Dragon Ultimate 1st            |  248  |
| Pot of Avarice Ultimate 1st 2 german 1 english |  248  |
|       Chaos Emperor Dragon Ultimate 1st        |  245  |
|    Phoenix Wing Wind Blast Ultimate 1st NM     |  239  |
|   Pot of Greed Ultimate 1st - 2 EN 2 Foreign   |  210  |
|           Brain Control Ultimate 1st           |  209  |
|     Charge of the Light Brigade Secret 1st     |  206  |
|               Sangan Super RP01                |  199  |
|          Tour Guide Ultimate Italian           |  197  |
|            Chaos Sorcerer Ultra TU             |  175  |
|        Dark Magician of Chaos DMOC 1st         |  169  |
|              Doom Lord Rare DR04               |  169  |
|         Emegency Teleport Ultimate 1st         |  169  |
|    Phoenix Wing Wind Blast Ultimate 1st LP     |  166  |
|            Dark Grepher Secret 1st             |  160  |
|          Thunder King Rai-Oh Ultimate          |  158  |
|            Smashing Ground Super CP            |  144  |
|             Honest Ghost Unlimited             |  138  |
|               Tragoedia Ultimate               |  127  |
|               Maxx C Secret 1st                |  124  |
|          Solemn Warning Ultimate 1st           |  117  |
|       Mystical Space Typhoon MST MRL 1st       |  114  |
|          Solar Recharge Ultimate 1st           |  104  |
|          Krebos Super TU (2 EN 3 GER)          |   99  |
|               Lyla Ultimate 1st                |   95  |
|               Dandylion Ultimate               |   91  |
|              Mirror Force MRD 1st              |   90  |
|         Crush Card Virus Ultimate 1st          |   89  |
|          Future Fusion UTR Unlimited           |   89  |
|               Tsukuyomi Ultimate               |   89  |
|             Pot of Duality Scr 1st             |   88  |
|           Torrential Tribute LON 1st           |   88  |
|             Delinquent Duo MRL 1st             |   80  |
|           Machine Dupe Ultimate 1st            |   80  |
|             Cyber Jar Ultimate 1st             |   79  |
|           Archlord Kristya Unlimited           |   78  |
|            Enemy Controller AST 1st            |   74  |
|              Dekoichi UTR 1st NM               |   73  |
|               Dark Hole LOB 1st                |   69  |
|                Ehren Secret 1st                |   69  |
|              Snatch Steal MRL 1st              |   69  |
|        Glowup Bulb Ultimate 2 eng 1 IT         |   68  |
|             Celestia Ultimate 1st              |   65  |
|             Tour Guide Secret 1st              |   63  |
|              Heavy storm mrd 1st               |   59  |
|             Debris Dragon Ultimate             |   54  |
|       Monster Reincarnation Ultimate 1st       |   51  |
|           Cyber Phoenix Ultimate 1st           |   50  |
|         Ring of Destruction Secret 1st         |   50  |
|           Diamond Dude Ultimate 1st            |   45  |
|             Doomcalibur Knight TU              |   43  |
|           Thunder King Rai-oh Secret           |   43  |
|              Battle Fader UTR 1st              |   42  |
|           Necro Gardna Ultimate 1st            |   39  |
|         Giant Trunade - MRL Super 1st          |   38  |
|                  Beckoning TU                  |   34  |
|              Divine Wrath UTR 1st              |   31  |
|              Dekoichi UTR 1st LP               |   30  |
|             Thunder Dragon MRD 1st             |   29  |
|            Tribe infecting MFC 1st             |   29  |
